ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
1,Jack Dugan (LW/RW),Providence College,34,10,42,52,1.53,64,13
2,Jordan Kawaguchi (C),University of North Dakota,33,15,30,45,1.36,8,21
3,Marc Michaelis (LW/C),Minnesota State University (Mankato),31,20,24,44,1.42,8,20
4,Tyce Thompson (RW/C),Providence College,34,19,25,44,1.29,29,8
5,Nick Abruzzese (LW/C),Harvard University,31,14,30,44,1.42,4,8
6,David Farrance (D),Boston University,34,14,29,43,1.26,20,6
7,Alex Newhook (C/LW),Boston College,34,19,23,42,1.24,8,28
8,Julius Mattila (C),Boston College,34,10,32,42,1.24,10,21
9,Mitchell Fossier (LW),University of Maine,34,10,32,42,1.24,12,16
10,James Sanchez (LW),Arizona State University,36,10,30,40,1.11,24,7
11,Scott Perunovich (D),University of Minnesota-Duluth,34,6,34,40,1.18,64,18
12,Griffin Loughran (F),Northern Michigan University,37,23,16,39,1.05,93,9
13,Jack Drury (C),Harvard University,28,20,19,39,1.39,16,9
14,David Cotton (C),Boston College,32,15,24,39,1.22,46,15
15,Johnny Walker (RW),Arizona State University,36,20,18,38,1.06,22,12
16,Nate Sucese (LW),Penn State University,34,11,27,38,1.12,16,8
17,Odeen Tufto (C),Quinnipiac University,34,7,31,38,1.12,10,8
18,John Leonard (LW/RW),UMass,33,27,10,37,1.12,8,17
19,Jason Cotton (C),Sacred Heart University,34,20,17,37,1.09,14,20
20,Tyler Madden (C),Northeastern University,27,19,18,37,1.37,34,4
21,Patrick Harper (C/LW),Boston University,32,14,23,37,1.16,6,11
22,Tim Doherty (C/LW),University of Maine,34,14,23,37,1.09,32,14
23,Parker Tuomie (RW),Minnesota State University (Mankato),37,14,23,37,1.00,16,13
24,Brinson Pasichnuk (D),Arizona State University,36,11,26,37,1.03,18,4
25,Cole Caufield (LW/RW),University of Wisconsin,36,19,17,36,1.00,6,-3
26,Gordie Green (C/RW),Miami University (Ohio),34,14,22,36,1.06,26,0
27,Casey Dornbach (C/W),Harvard University,31,12,24,36,1.16,2,9
28,Trevor Zegras (C/W),Boston University,33,11,25,36,1.09,43,8
29,Max Humitz (C/LW),Lake Superior State University,41,22,13,35,0.85,62,3
30,Hugh McGing (LW/C),Western Michigan University,35,13,22,35,1.00,52,18
31,Mathias Emilio Pettersen (C/LW),University of Denver,36,13,22,35,0.97,16,-1
32,Alec Rauhauser (D),Bowling Green State University,38,11,24,35,0.92,40,11
33,Adam Brady (C/LW),Bemidji State University,37,19,15,34,0.92,2,0
34,Owen Sillinger (C/LW),Bemidji State University,37,14,20,34,0.92,36,11
35,Evan Barratt (C/LW),Penn State University,34,12,22,34,1.00,28,12
36,Connor Ford (C),Bowling Green State University,36,12,22,34,0.94,16,-1
37,Tanner Laczynski (C),Ohio State University,36,11,23,34,0.94,22,9
38,Brandon Kruse (LW),Bowling Green State University,38,9,25,34,0.89,24,1
39,Drew O'Connor (LW/RW),Dartmouth College,31,21,12,33,1.06,42,3
40,Logan Hutsko (RW/C),Boston College,30,19,14,33,1.10,16,17
41,Cole Koepke (LW/RW/RW),University of Minnesota-Duluth,34,16,17,33,0.97,16,14
42,Patrick Khodorenko (C),Michigan State University,36,16,17,33,0.92,20,0
43,Noah Cates (LW),University of Minnesota-Duluth,34,14,19,33,0.97,35,7
44,Steven Jandric (LW),University of Alaska-Fairbanks,35,13,20,33,0.94,47,4
45,Mike Lee (D),Sacred Heart University,33,5,28,33,1.00,20,22
46,Patrick Curry (C/LW),Boston University,34,19,13,32,0.94,28,10
47,Nick Hutchison (C/LW),Canisius College,31,18,14,32,1.03,49,3
48,Austin McIlmurray (RW),Sacred Heart University,34,18,14,32,0.94,6,4
49,Matt Hoover (LW),Canisius College,36,15,17,32,0.89,60,-3
50,Morgan Barron (C/W),Cornell University,29,14,18,32,1.10,24,17
51,Haralds Egle (C/RW),Clarkson University,32,14,18,32,1.00,22,9
52,Alex Limoges (LW/C),Penn State University,30,11,21,32,1.07,8,11
53,Josh Maniscalco (D),Arizona State University,36,11,21,32,0.89,38,12
54,Ian Mitchell (D),University of Denver,36,10,22,32,0.89,16,7
55,Chris Wilkie (RW/LW),Colorado College,34,23,8,31,0.91,36,-9
56,Carson Meyer (RW/LW),Ohio State University,35,17,14,31,0.89,26,8
57,Darien Craighead (RW/C),Northern Michigan University,36,15,16,31,0.86,33,0
58,Jake Slaker (C),University of Michigan,33,14,17,31,0.94,14,8
